E0625 18:13:07.926244       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-control-plane-ddq2b" "namespace"="default"
E0625 18:13:09.191895       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-69mms" "namespace"="default"
E0625 18:13:10.470492       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-lvls9" "namespace"="default"
E0625 18:13:11.735209       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-f68fq" "namespace"="default"
E0625 18:13:12.997897       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-9swsc" "namespace"="default"
E0625 18:13:14.264048       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-control-plane-ddq2b" "namespace"="default"
E0625 18:13:15.526920       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-69mms" "namespace"="default"
E0625 18:13:16.800042       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-lvls9" "namespace"="default"
E0625 18:13:18.068543       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-f68fq" "namespace"="default"
E0625 18:13:19.348480       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-9swsc" "namespace"="default"
E0625 18:13:20.624083       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-control-plane-ddq2b" "namespace"="default"
E0625 18:13:21.900845       1 controller.go:248] controller-runtime/controller "msg"="Reconciler error" "error"="Failed to retrieve Azure IP pool: AzureIPPool.infrastructure.cluster.x-k8s.io \"ase-ip-pool\" not found" "controller"="azuremachine" "name"="capz-cluster-md-0-69mms" "namespace"="default"
